x y theta v w
0.165879 -1.2128 2.91385 1.51465e-07 -0.194822
0.165879 -1.2128 2.89316 1.28823e-07 -0.206953
0.165879 -1.2128 2.87109 1.0612e-07 -0.220642
0.165879 -1.2128 2.84748 8.29852e-08 -0.236083
0.165879 -1.2128 2.82213 5.89823e-08 -0.253498
0.165879 -1.2128 2.79482 3.35897e-08 -0.273134
0.165879 -1.2128 2.76529 6.17787e-09 -0.295271
0.165879 -1.2128 2.73327 -2.40264e-08 -0.320214
0.165879 -1.2128 2.69844 -5.7987e-08 -0.348291
0.165879 -1.2128 2.66046 -9.69236e-08 -0.379841
0.165879 -1.2128 2.61894 -1.42399e-07 -0.415192
0.165879 -1.2128 2.57348 -1.96444e-07 -0.454627
0.165879 -1.2128 2.52364 -2.61728e-07 -0.498334
0.165879 -1.2128 2.46901 -3.41817e-07 -0.546324
0.165879 -1.2128 2.40918 -4.41556e-07 -0.598324
0.165879 -1.2128 2.34382 -5.67711e-07 -0.653644
0.165879 -1.2128 2.27271 -7.301e-07 -0.711025
0.16588 -1.2128 2.19586 -9.43875e-07 -0.76851
0.16588 -1.2128 2.11352 -1.23479e-06 -0.82338
0.16588 -1.2128 2.0263 -1.65354e-06 -0.872259
0.16588 -1.2128 1.93516 -2.32475e-06 -0.911429
0.16588 -1.2128 1.84142 -3.69053e-06 -0.937379
0.16588 -1.2128 1.74667 -9.53495e-06 -0.94749
0.139634 -1.06511 1.65261 1.50008 -0.940625
0.127372 -0.915555 1.56086 1.50053 -0.917412
0.127772 -0.875255 1.47286 0.403025 -0.880091
0.119895 -0.955425 1.38966 -0.805566 -0.831979
0.106528 -1.02841 1.31198 -0.74199 -0.776799
0.0893948 -1.09312 1.24017 -0.669418 -0.718065
0.0859055 -1.10329 1.1743 -0.107484 -0.658703
0.0859009 -1.1033 1.11421 -0.000118901 -0.600885
0.0859009 -1.1033 1.05961 -1.05944e-07 -0.54606
0.0859009 -1.1033 1.0101 -1.99581e-07 -0.495063
0.0859009 -1.1033 0.965273 -2.23462e-07 -0.448268
0.0859008 -1.1033 0.9247 -1.99347e-07 -0.405731
0.0859008 -1.1033 0.88797 -1.53983e-07 -0.367304
0.0859008 -1.1033 0.854698 -1.02281e-07 -0.332719
0.0859008 -1.1033 0.824532 -5.10907e-08 -0.301653
0.0859008 -1.1033 0.797156 -3.23266e-09 -0.273762
0.0859008 -1.1033 0.772285 4.02217e-08 -0.248709
0.0859008 -1.1033 0.749668 7.87763e-08 -0.226175
0.0859008 -1.1033 0.729081 1.11878e-07 -0.205867
0.0859009 -1.1033 0.710329 1.38516e-07 -0.187521
0.0859009 -1.1033 0.693239 1.56909e-07 -0.170901
0.0859009 -1.1033 0.677659 1.64283e-07 -0.1558
0.0859009 -1.1033 0.663456 1.56954e-07 -0.142031
0.0859009 -1.1033 0.650512 1.31401e-07 -0.129435
0.0859009 -1.1033 0.638725 8.78469e-08 -0.117869
0.0859009 -1.1033 0.628005 3.6491e-08 -0.107208
0.0859009 -1.1033 0.61827 6.51083e-09 -0.0973417
0.0859009 -1.1033 0.609453 1.56834e-10 -0.0881746
0.090451 -1.10012 0.601491 0.0554914 -0.0796208
0.119672 -1.08007 0.59433 0.354409 -0.0716045
0.150224 -1.05942 0.587925 0.368757 -0.0640584
0.182005 -1.03824 0.582232 0.381943 -0.0569222
0.21493 -1.01656 0.577218 0.394192 -0.0501416
0.248914 -0.994429 0.572851 0.405546 -0.0436675
0.283876 -0.971878 0.569106 0.416042 -0.0374552
0.319738 -0.948937 0.56596 0.425714 -0.0314637
0.356421 -0.925633 0.563394 0.434594 -0.0256549
0.39385 -0.90199 0.561395 0.442714 -0.0199932
0.431952 -0.878028 0.55995 0.450102 -0.014445
